type 1 	 flagBushy 1 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.075000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.032409
6 	 0.000000 	 0.033355
8 	 0.000000 	 0.033534
10 	 0.000000 	 0.034257
12 	 0.000000 	 0.034781
14 	 0.031000 	 0.034468
16 	 0.063000 	 0.034571
18 	 0.203000 	 0.034776
20 	 0.594000 	 0.034596
22 	 1.953000 	 0.034722
24 	 5.391000 	 0.034592
26 	 16.515000 	 0.034894
28 	 55.657000 	 0.036114
30 	 150.268000 	 0.035205
32 	 437.068000 	 0.034543
34 	 1330.484000 	 0.034561
