type 1 	 flagBushy 0 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.015000 	 0.129859
5 	 0.000000 	 0.130114
6 	 0.000000 	 0.129913
7 	 0.000000 	 0.130105
8 	 0.000000 	 0.129977
9 	 0.016000 	 0.130084
10 	 0.062000 	 0.130032
11 	 0.172000 	 0.130058
12 	 0.516000 	 0.130071
13 	 1.688000 	 0.130030
14 	 4.672000 	 0.130092
15 	 14.001000 	 0.130022
16 	 42.017000 	 0.130093
17 	 126.156000 	 0.130038
18 	 384.744000 	 0.130077
19 	 1326.032000 	 0.130063
